Time,Block,TaskCount,Duration,X,Y,Z
1688219190263,training,-1,1750,1.6,1.2,-0.211
1688219197024,training,0,1250,1.6,1.2,-0.211
1688219203285,training,1,1250,1.6,1.2,-0.211
1688219209543,training,2,1250,1.6,1.2,-0.211
1688219215803,training,3,1500,1.6,1.2,-0.211
1688219222310,training,4,1500,1.6,1.2,-0.211
1688219760620,VR-difficult,-1,1500,1.6,1.2,-0.211
1688219762128,VR-difficult,0,1250,1.6,1.2,-0.211
1688219763386,VR-difficult,1,1250,1.6,1.2,-0.211
1688219764643,VR-difficult,2,1250,1.6,1.2,-0.211
1688219765902,VR-difficult,3,1250,1.6,1.2,-0.211
1688219767159,VR-difficult,4,1500,1.6,1.2,-0.211
1688219768672,VR-difficult,5,1250,1.6,1.2,-0.211
1688219769931,VR-difficult,6,1500,1.6,1.2,-0.211
