Time,Block,TaskCount,Item,Tag,X,Y,Z
1688226945367,training,0,Red Cube,Target,1.173936,1.40057,-0.5957107
1688226945367,training,0,Red Cylinder,Same Color,1.583707,1.888085,0.4934605
1688226945367,training,0,Red Pyramids,Same Color,2.171747,1.104102,0.286162
1688226945367,training,0,Red Sphere,Same Color,1.130157,0.8265085,-0.4320733
1688226945367,training,0,Red Cylinder,Same Color,0.5136221,1.335424,0.8136069
1688226945367,training,0,Red Pyramids,Same Color,1.014924,1.203093,0.8832566
1688226945367,training,0,Red Pyramids,Same Color,2.76346,1.6088,-1.060427
1688226945367,training,0,Yellow Cube,Same Shape,1.705032,1.011566,0.9683027
1688226945367,training,0,Blue Cube,Same Shape,2.507181,1.89421,0.05980933
1688226945367,training,0,Purple Cube,Same Shape,2.603631,1.481948,0.4357951
1688226945367,training,0,Blue Cube,Same Shape,2.703351,2.131574,-1.241707
1688226945367,training,0,Yellow Cube,Same Shape,2.38282,0.1922716,-1.180381
1688226945367,training,0,Yellow Cube,Same Shape,1.962849,1.184419,-0.7927081
1688226945367,training,0,Purple Sphere,Different,2.754677,1.621259,0.8982562
1688226945367,training,0,Blue Pyramids,Different,2.762223,1.494992,-0.5300695
1688226945367,training,0,Blue Cylinder,Different,2.765562,0.8395649,-0.8016748
1688226945367,training,0,Blue Sphere,Different,1.358641,1.338296,0.3000574
1688226945367,training,0,Purple Pyramids,Different,0.7860149,1.716981,-0.5950642
1688226945367,training,0,Purple Sphere,Different,2.754867,2.139666,-0.3369799
1688226952129,training,1,Red Sphere,Target,0.758171,1.571291,1.038814
1688226952129,training,1,Red Cylinder,Same Color,2.381745,0.6271003,-0.8393604
1688226952129,training,1,Red Cube,Same Color,2.33026,1.940052,0.7613361
1688226952129,training,1,Red Cube,Same Color,2.506703,0.4923812,1.339247
1688226952129,training,1,Red Cylinder,Same Color,1.26265,0.8367119,0.7552511
1688226952129,training,1,Red Cylinder,Same Color,2.470487,1.991867,-0.5761423
1688226952129,training,1,Red Pyramids,Same Color,2.657753,1.417622,0.1367298
1688226952129,training,1,Blue Sphere,Same Shape,0.657917,1.249696,-0.5150775
1688226952129,training,1,Yellow Sphere,Same Shape,1.199465,1.003528,-0.1685458
1688226952129,training,1,Purple Sphere,Same Shape,1.561987,0.5108368,0.5017617
1688226952129,training,1,Blue Sphere,Same Shape,2.520581,0.4490056,-0.0437035
1688226952129,training,1,Blue Sphere,Same Shape,2.27021,1.124773,-0.4438649
1688226952129,training,1,Purple Sphere,Same Shape,0.9047898,1.80876,-0.6561788
1688226952129,training,1,Blue Cylinder,Different,1.627871,1.852354,-0.06507856
1688226952129,training,1,Blue Cube,Different,2.681355,2.15416,1.426946
1688226952129,training,1,Blue Cube,Different,2.286705,0.811698,0.8514773
1688226952129,training,1,Blue Cylinder,Different,1.875159,1.27004,1.420453
1688226952129,training,1,Purple Cube,Different,2.015374,1.242166,-1.098731
1688226952129,training,1,Yellow Cylinder,Different,2.722309,1.948832,0.1125798
1688226958886,training,2,Yellow Cylinder,Target,1.871247,0.3496796,1.174281
1688226958886,training,2,Yellow Sphere,Same Color,2.548124,1.412133,-0.6711534
1688226958886,training,2,Yellow Cube,Same Color,2.385851,2.059132,1.380218
1688226958886,training,2,Yellow Sphere,Same Color,1.932324,0.678404,-0.3860995
1688226958886,training,2,Yellow Cube,Same Color,0.909418,1.114451,-0.4539854
1688226958886,training,2,Yellow Pyramids,Same Color,1.617484,1.132176,0.2662592
1688226958886,training,2,Yellow Pyramids,Same Color,2.508789,1.729181,0.4719638
1688226958886,training,2,Blue Cylinder,Same Shape,1.849036,0.9743485,1.055375
1688226958886,training,2,Purple Cylinder,Same Shape,0.5403562,0.878602,0.4425846
1688226958886,training,2,Blue Cylinder,Same Shape,1.371298,1.34662,-0.7089351
1688226958886,training,2,Purple Cylinder,Same Shape,2.03387,1.938756,-1.048844
1688226958886,training,2,Red Cylinder,Same Shape,2.670143,1.738794,1.032169
1688226958886,training,2,Purple Cylinder,Same Shape,1.228541,1.671571,0.1293626
1688226958886,training,2,Purple Cube,Different,1.215687,1.899636,0.6876183
1688226958886,training,2,Red Sphere,Different,1.646232,0.4355615,0.3267037
1688226958886,training,2,Purple Cube,Different,2.755169,1.730814,1.69836
1688226958886,training,2,Blue Sphere,Different,2.647614,1.006618,-1.029148
1688226958886,training,2,Red Pyramids,Different,1.206383,1.925234,-0.4899381
1688226958886,training,2,Blue Pyramids,Different,2.267148,0.6727269,1.026399
1688226965394,training,3,Purple Cube,Target,1.378856,1.160855,1.017032
1688226965394,training,3,Purple Sphere,Same Color,1.784518,1.835427,-0.2076753
1688226965394,training,3,Purple Pyramids,Same Color,1.523659,1.442129,-0.7555377
1688226965394,training,3,Purple Sphere,Same Color,1.789161,1.99279,0.9285545
1688226965394,training,3,Purple Pyramids,Same Color,2.227413,1.519799,-0.7803822
1688226965394,training,3,Purple Cylinder,Same Color,1.033455,0.7935091,0.3141388
1688226965394,training,3,Purple Sphere,Same Color,1.983719,0.7521799,0.6352419
1688226965394,training,3,Red Cube,Same Shape,0.8109064,1.253022,0.5599557
1688226965394,training,3,Blue Cube,Same Shape,0.982262,0.867864,-0.2751602
1688226965394,training,3,Red Cube,Same Shape,2.271971,2.135484,-0.9594065
1688226965394,training,3,Blue Cube,Same Shape,2.533142,1.946196,0.9882815
1688226965394,training,3,Blue Cube,Same Shape,2.389395,1.080751,-1.076412
1688226965394,training,3,Blue Cube,Same Shape,2.147502,0.9632626,-0.2569285
1688226965394,training,3,Yellow Sphere,Different,2.541283,0.5535251,1.190274
1688226965394,training,3,Yellow Cylinder,Different,2.129477,1.134705,0.2459359
1688226965394,training,3,Red Cylinder,Different,2.64017,0.5651355,-0.9869165
1688226965394,training,3,Blue Sphere,Different,2.541733,1.852213,0.3084008
1688226965394,training,3,Red Sphere,Different,1.566412,0.8236313,1.391397
1688226965394,training,3,Red Sphere,Different,1.421928,0.6696529,-0.5559645
1688226971652,training,4,Purple Cylinder,Target,1.682858,1.545543,1.057319
1688226971652,training,4,Purple Sphere,Same Color,1.19764,0.8873602,-0.2750294
1688226971652,training,4,Purple Pyramids,Same Color,2.552437,1.605195,-0.4285284
1688226971652,training,4,Purple Cube,Same Color,1.837879,1.11522,-1.058583
1688226971652,training,4,Purple Pyramids,Same Color,2.445135,1.084954,-0.6991017
1688226971652,training,4,Purple Pyramids,Same Color,2.764898,0.4522943,1.400861
1688226971652,training,4,Purple Sphere,Same Color,1.18747,1.462388,0.745402
1688226971652,training,4,Yellow Cylinder,Same Shape,2.163212,0.8744271,0.3596082
1688226971652,training,4,Blue Cylinder,Same Shape,2.279159,0.8837389,-1.244719
1688226971652,training,4,Yellow Cylinder,Same Shape,1.86764,0.8899844,0.9113561
1688226971652,training,4,Yellow Cylinder,Same Shape,2.469053,2.194013,0.3282076
1688226971652,training,4,Yellow Cylinder,Same Shape,1.647956,1.183997,0.3629281
1688226971652,training,4,Yellow Cylinder,Same Shape,2.116159,1.390697,0.7938142
1688226971652,training,4,Red Pyramids,Different,2.546714,1.67684,0.4196347
1688226971652,training,4,Yellow Sphere,Different,0.7805661,0.9407461,0.7497061
1688226971652,training,4,Red Sphere,Different,2.187796,1.045288,-0.1483461
1688226971652,training,4,Red Cube,Different,1.697564,0.6295638,-0.2923075
1688226971652,training,4,Blue Sphere,Different,0.4794597,1.477608,0.8166906
1688226971652,training,4,Yellow Sphere,Different,1.356992,1.718492,-0.3546684
1688226977910,training,5,Blue Cube,Target,1.794028,0.7993191,-0.0952189
1688226977910,training,5,Blue Pyramids,Same Color,1.850329,1.972384,-0.8332132
1688226977910,training,5,Blue Sphere,Same Color,2.722919,2.003676,-1.025861
1688226977910,training,5,Blue Cylinder,Same Color,1.897446,0.7478125,-0.6782935
1688226977910,training,5,Blue Sphere,Same Color,2.664579,1.561421,-0.2246991
1688226977910,training,5,Blue Sphere,Same Color,1.787076,1.549242,0.7132404
1688226977910,training,5,Blue Sphere,Same Color,2.471418,0.1650144,1.631706
1688226977910,training,5,Purple Cube,Same Shape,1.448271,1.239613,-0.03004569
1688226977910,training,5,Red Cube,Same Shape,0.816545,1.5761,0.7038495
1688226977910,training,5,Yellow Cube,Same Shape,1.36403,1.12578,1.305073
1688226977910,training,5,Yellow Cube,Same Shape,0.4594665,1.121282,-0.2438518
1688226977910,training,5,Yellow Cube,Same Shape,1.294049,1.03022,0.7096646
1688226977910,training,5,Yellow Cube,Same Shape,0.9367452,1.581465,-0.09037316
1688226977910,training,5,Red Cylinder,Different,2.734485,1.480703,1.672924
1688226977910,training,5,Purple Pyramids,Different,1.002815,0.7713099,0.3336304
1688226977910,training,5,Yellow Pyramids,Different,2.756094,0.3717161,-0.561518
1688226977910,training,5,Yellow Sphere,Different,1.463728,0.5097414,1.091623
1688226977910,training,5,Yellow Cylinder,Different,2.287806,1.297035,0.03861099
1688226977910,training,5,Purple Pyramids,Different,2.627573,1.059335,0.6803259
