Time,Block,State
1688227720386,ClosingEyes,start
1688227725388,ClosingEyes,end
1688227728051,Resting,start
1688227733052,Resting,end
1688227742314,training,start
1688227781118,training,end
1688227799177,AV-difficult,start
1688227845236,AV-difficult,end
1688832362419,training,start
1688847943416,training,start
1688848035564,training,start
1688848216003,training,start
1688848503029,training,start
1688848563981,training,end
1688927347457,training,start
1688927739298,training,start
1689105696791,training,start
1689105730343,training,end
